书名,图片,评论数,推荐量,作者,出版社,售价,原价,折扣,电子书价格,详情页,more
许三观卖血记（2017精装典藏版，增录新版自序）,http://img3m3.ddimg.cn/36/0/25165143-1_l_6.jpg,101004.0,100%,余华 著，新经典 出品,北京十月文艺出版社,¥27.20,¥39.50,6.9折,¥19.92,http://product.dangdang.com/25165143.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""]]}"
乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫・勒庞代表作之一。极简翻译文风，语言深入浅出，减少艰深晦涩）,http://img3m9.ddimg.cn/25/29/25246609-1_l_22.jpg,723985.0,100%,(法) 古斯塔夫・勒庞 著，马晓佳 译,民主与建设出版社,¥11.70,¥26.00,4.5折,,http://product.dangdang.com/25246609.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""心理学"", ""心理学经典著作""]]}"
子不语（集怪、力、乱、神于一体的纯正东方精怪故事集，内含精美原创插图及注释）,http://img3m9.ddimg.cn/51/13/29212179-1_l_17.jpg,3640.0,99.9%,袁枚 著，栗子文化出品，有容书邦发行,江苏凤凰文艺出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/29212179.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""小说作品集"", ""中国""]]}"
骆驼祥子 全本（《语文》推荐阅读丛书）七年级下册推荐阅读 人民文学出版社,http://img3m4.ddimg.cn/39/14/25267314-1_l_8.jpg,221360.0,100%,老舍,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25267314.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]}"
消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）,http://img3m3.ddimg.cn/3/5/28542693-1_l_14.jpg,324037.0,100%,(日)高野和明 著；读客文化 出品,上海文艺出版社,¥21.00,¥42.00,5.0折,¥12.99,http://product.dangdang.com/28542693.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""侦探/悬疑/推理小说""]]}"
妈妈的情绪影响孩子的一生,http://img3m2.ddimg.cn/23/19/29262542-1_l_17.jpg,12687.0,100%,蒋小芳,中国轻工业出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/29262542.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""亲子/家教"", ""家教方法""]]}"
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,http://img3m2.ddimg.cn/62/32/25119332-1_l_18.jpg,2026842.0,99.9%,[日]东野圭吾 著，新经典 出品,南海出版公司,¥29.80,¥59.60,5.0折,¥35.76,http://product.dangdang.com/25119332.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""]]}"
心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇。,http://img3m2.ddimg.cn/16/24/28976722-1_l_51.jpg,437342.0,100%,季羡林 著，文通天下 出品,古吴轩出版社,¥15.10,¥49.00,3.1折,¥19.90,http://product.dangdang.com/28976722.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
次第花开 修订版,http://img3m4.ddimg.cn/67/33/24184084-1_l_9.jpg,761024.0,100%,希阿荣博堪布,海南出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/24184084.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""哲学/宗教"", ""宗教"", ""宗教知识读物""], [""图书"", ""文化"", ""传统文化"", ""其他""]]}"
皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命）,http://img3m1.ddimg.cn/3/6/27872661-1_l_48.jpg,1298479.0,99.9%,蔡崇达，果麦文化 出品,天津人民出版社,¥24.90,¥49.80,5.0折,¥9.90,http://product.dangdang.com/27872661.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
华杉讲透孙子兵法（精装修订版）（这回终于读懂孙子兵法！通俗通透解读经典战例，逐字逐句讲透兵法原意。通篇大白话，一看就懂）,http://img3m2.ddimg.cn/86/8/29368832-1_l_4.jpg,141766.0,99.6%,华杉；读客文化 出品,江苏文艺出版社,¥34.90,¥69.80,5.0折,,http://product.dangdang.com/29368832.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""政治/军事"", ""军事"", ""军事理论""]]}"
这世界很好，但你也不差（打破满意度低幸福感差，这世界真叫人疲倦的死循环。万特特全新作品，《这世界很烦，但你要很可爱》姊妹篇）,http://img3m6.ddimg.cn/90/34/29272806-1_l_48.jpg,92918.0,100%,万特特,新世界出版社,¥24.50,¥49.00,5.0折,,http://product.dangdang.com/29272806.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""成功/激励"", ""激励""]]}"
命运（蔡崇达新书，畅销400万册《皮囊》作者长篇新作。刘德华、韩寒、白岩松、李敬泽、程永新联袂推荐！一个人的无常，所有人的命运）,http://img3m3.ddimg.cn/47/1/29458883-1_l_25.jpg,43927.0,100%,蔡崇达，果麦文化 出品,浙江文艺出版社,¥29.90,¥59.80,5.0折,¥24.99,http://product.dangdang.com/29458883.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
纳瓦尔宝典：从白手起家到财务自由，硅谷知名天使投资人纳瓦尔智慧箴言录,http://img3m5.ddimg.cn/52/9/29393845-1_l_17.jpg,45528.0,100%,埃里克・乔根森,中信出版社,¥34.00,¥68.00,5.0折,¥47.60,http://product.dangdang.com/29393845.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""金融/投资"", ""投资 融资""]]}"
小王子（罗翔老师推荐阅读，李继宏口碑译作，作者基金会官方认证简体中文版）【果麦经典】,http://img3m6.ddimg.cn/15/33/25298376-1_l_63.jpg,1627069.0,99.9%,（法）安托万・德・圣埃克苏佩里，译者 李继宏，果麦文化 出品,天津人民出版社,¥19.90,¥39.80,5.0折,¥3.00,http://product.dangdang.com/25298376.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""世界名著"", ""欧洲""]]}"
经典常谈（《语文》八年级下推荐阅读，版本特别加入图解与注释，附录20853字《唐诗三百首》解析，更适合青少年无障碍阅读。）,http://img3m0.ddimg.cn/24/23/27915450-1_l_28.jpg,7719.0,99.9%,朱自清， 果麦文化 出品,三秦出版社,¥15.50,¥35.00,4.4折,¥6.99,http://product.dangdang.com/27915450.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文化"", ""文化评述""]]}"
流浪地球・珍藏版,http://img3m3.ddimg.cn/13/18/27858613-1_l_13.jpg,3007.0,100%,刘慈欣 郝景芳 等著，捧读文化 出品,沈阳出版社,¥24.70,¥49.50,5.0折,,http://product.dangdang.com/27858613.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""科幻小说""]]}"
叫魂：1768年中国妖术大恐慌（新版本）,http://img3m1.ddimg.cn/63/15/25582851-1_l_6.jpg,96413.0,99.8%,孔飞力,上海三联书店,¥24.00,¥48.00,5.0折,,http://product.dangdang.com/25582851.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""政治/军事"", ""政治"", ""社会问题""]]}"
起初・纪年（王朔新书，埋头十五年压卷之作！中国当代小说新高度）,http://img3m1.ddimg.cn/38/17/29444321-1_l_7.jpg,79077.0,99.9%,王朔  著 ， 新经典  出品,新星出版社,¥79.00,¥108.00,7.3折,,http://product.dangdang.com/29444321.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
果麦经典：了凡四训（“我命由我不由天！”曾国藩、胡适、稻盛和夫推崇的生活方式手册；费勇教授精美译文）,http://img3m9.ddimg.cn/10/24/25157989-1_l_10.jpg,217745.0,100%,袁了凡 著，译者 费勇，果麦文化 出品,三秦出版社,¥15.70,¥32.00,4.9折,¥0.99,http://product.dangdang.com/25157989.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""哲学/宗教"", ""哲学"", ""哲学知识读物""], [""图书"", ""文化"", ""传统文化"", ""其他""]]}"
如果历史是一群喵11・南宋金元篇,http://img3m7.ddimg.cn/38/23/29475407-1_l_11.jpg,58594.0,100%,肥志编绘，漫友文化出品,广东旅游出版社,¥42.70,¥59.80,7.1折,,http://product.dangdang.com/29475407.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""历史/传统文化""]]}"
尘埃落定：限量签章版（荣获茅盾文学奖20周年纪念版！特别加赠阿来故乡风景卡片三幅！),http://img3m1.ddimg.cn/2/2/29131841-1_l_17.jpg,133194.0,100%,阿来,浙江文艺出版社,¥24.50,¥49.00,5.0折,¥12.99,http://product.dangdang.com/29131841.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
李清照传：半生烟雨，半世落花,http://img3m2.ddimg.cn/98/5/24166592-1_l_13.jpg,131294.0,99.9%,随园散人著，交通社出品，有容书邦  发行,人民交通出版社,¥16.20,¥36.00,4.5折,,http://product.dangdang.com/24166592.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""传记"", ""女性人物""]]}"
情商这门课，只能父母教（当当定制情绪温度计海报）著名教育专家唐雯倾心打造,http://img3m9.ddimg.cn/37/12/29476099-1_l_8.jpg,7409.0,100%,唐雯，酷威文化 出品,江苏凤凰文艺出版社,¥19.90,¥39.80,5.0折,¥16.99,http://product.dangdang.com/29476099.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""亲子/家教"", ""家教方法""]]}"
枪炮、病菌与钢铁（赠解读册）,http://img3m2.ddimg.cn/82/20/29351602-1_l_19.jpg,65925.0,99.9%,贾雷德・戴蒙德 Jared Diamond,中信出版社,¥44.50,¥89.00,5.0折,¥59.99,http://product.dangdang.com/29351602.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""历史"", ""世界史"", ""世界通史""]]}"
骆驼祥子 七年级下册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 300000多名读者热评！,http://img3m5.ddimg.cn/47/13/22854395-1_l_43.jpg,392084.0,99.9%,老舍,时代文艺出版社,¥6.70,¥15.80,4.2折,,http://product.dangdang.com/22854395.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
前任这根葱：性格傲娇的广告设计师与做VR游戏的年下初恋男友，爱情与事业共同成长的爆笑治愈爱情故事,http://img3m6.ddimg.cn/17/18/29355596-1_l_7.jpg,2748.0,100%,鱼子酱,天津人民出版社,¥17.60,¥42.00,4.2折,,http://product.dangdang.com/29355596.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""都市小说""]]}"
乡土中国（精装版 附赠书签）,http://img3m0.ddimg.cn/6/10/29129370-1_l_16.jpg,148824.0,100%,费孝通,青岛出版社,¥22.80,¥28.00,8.1折,¥12.00,http://product.dangdang.com/29129370.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""高中阅读"", ""语文阅读""]]}"
钢铁是怎样炼成的(《语文》推荐阅读丛书)人民文学出版社,http://img3m9.ddimg.cn/89/8/25283699-1_l_6.jpg,156361.0,100%,（苏）尼・奥斯特洛夫斯基,人民文学出版社,¥16.80,¥36.00,4.7折,¥18.00,http://product.dangdang.com/25283699.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]}"
望江南（你一句春不晚，我就到了真江南。茅奖得主王旭烽，沉潜26年，最新长篇小说力作。）,http://img3m0.ddimg.cn/74/5/29367830-1_l_41.jpg,82714.0,100%,王旭烽,浙江文艺出版社,¥26.50,¥68.00,3.9折,¥23.99,http://product.dangdang.com/29367830.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
皮特猫・3~6岁好性格养成书：共四辑（套装1~4辑）（乐观、积极、开朗…荣获多项大奖的好性格榜样）新老版随机发货,http://img3m3.ddimg.cn/2/17/25323113-1_l_23.jpg,526273.0,100%,"詹姆斯・迪安等 著；彭懿,余治莹等 译；读客文化 出品",文汇出版社,¥279.80,¥559.60,5.0折,,http://product.dangdang.com/25323113.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""绘本/图画书"", ""平装图画书"", ""欧美""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""品格培养""]]}"
钢铁是怎样炼成的(语文教材“名著导读”经典・八年级下。大语文理念打造：思维导图+详细注释+知识拓展+彩色插图),http://img3m2.ddimg.cn/69/22/28535532-1_l_24.jpg,54157.0,100%,（苏）奥斯特洛夫斯基 著 周露 译,时代文艺出版社,¥20.70,¥44.00,4.7折,,http://product.dangdang.com/28535532.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]}"
非自然死亡：我的法医笔记（法医秦明冠名推荐，15年法医生涯，19宗真实案件改编。全网阅读超1亿人次！）,http://img3m9.ddimg.cn/13/7/29177689-1_l_64.jpg,117663.0,100%,刘晓辉 著，真故图书 出品,台海出版社,¥26.00,¥52.00,5.0折,¥15.60,http://product.dangdang.com/29177689.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""侦探/悬疑/推理小说""]]}"
孙子兵法（中华经典名著全本全注全译丛书-三全本）,http://img3m1.ddimg.cn/23/1/29385401-1_l_1.jpg,7513.0,99.9%,陈曦  译注,中华书局,¥21.90,¥26.00,8.4折,,http://product.dangdang.com/29385401.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""古籍"", ""古籍整理"", ""今注今译/全注全译""]]}"
