书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页,keys,cates,desc
始于极限：女性主义往复书简（上野千鹤子新作，豆瓣2022年度图书top1，万千读者无限共鸣的坦诚对话）,http://img3m6.ddimg.cn/38/16/29458676-1_l_12.jpg,37963.0,100%,（日）上野千鹤子，（日）铃木凉美 著，新经典  出品,2022-08-01,新星出版社,¥29.50,¥59.00,5.0折,¥29.50,http://product.dangdang.com/29458676.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513349369""]","[[""图书"", ""社会科学"", ""社会学"", ""社会生活与社会问题""]]",知名女性学研究者×叛逆人气作家：一场始于矛盾与冲突、通往理解与改变的对话，围绕成长、母女关系、自我内耗、男人等12大主题畅谈女性的纠葛与困惑。读者热议的话题之作，“每翻一页，体温也随之攀升。”  
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，发行量超200万册）,http://img3m5.ddimg.cn/51/34/26921715-1_l_12.jpg,1118611.0,100%,麦家  著 ，新经典  出品,2019-04-16,北京十月文艺出版社,¥27.50,¥55.00,5.0折,¥21.99,http://product.dangdang.com/26921715.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787530219218""]","[[""图书"", ""小说"", ""中国当代小说""]]",上校赢了所有的仗，却败给一个不足道的秘密。茅盾文学奖得主麦家暌违8年，打磨5年，挑战常人不敢落笔之处，解密人性的荒唐与高尚。人生海海，何必在意一时沉浮！  
七色花 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m8.ddimg.cn/54/5/28516608-1_l_21.jpg,27311.0,100%,瓦 卡达耶夫等,2020-02-01,商务印书馆,¥10.90,¥21.80,5.0折,,http://product.dangdang.com/28516608.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787100180474"", ""丛书名：快乐读书吧 统编小学语文教材必读丛书""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
马尔克斯：百年孤独（50周年纪念版）,http://img3m6.ddimg.cn/83/20/25138856-1_l_6.jpg,2200645.0,99.8%,加西亚・马尔克斯 著，新经典 出品,2017-08-01,南海出版公司,¥39.60,¥55.00,7.2折,¥35.99,http://product.dangdang.com/25138856.html,"[""开 本：32开"", ""纸 张：纯质纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787544291170""]","[[""图书"", ""小说"", ""世界名著"", ""其他地区""]]",新版典藏内封。加西亚·马尔克斯代表作，惟一正式中文版，未作任何删节，发行量超800万册！  
海底两万里（语文教材“名著导读”经典・七年级下。翻译家陈筱卿先生译本）,http://img3m8.ddimg.cn/37/30/25126138-1_l_17.jpg,311823.0,100%,[法]儒勒・凡尔纳 著 陈筱卿 译,2017-09-01,浙江工商大学出版社,¥11.30,¥25.00,4.5折,,http://product.dangdang.com/25126138.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787517823032""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",非改写&非编译。快跟上鹦鹉螺号，海底探险之旅出发！  
红岩,http://img3m1.ddimg.cn/79/2/25167661-1_l_8.jpg,720165.0,99.9%,罗广斌，杨益言,2017-09-01,中国青年出版社,¥22.10,¥36.00,6.1折,,http://product.dangdang.com/25167661.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787500601593""]","[[""图书"", ""小说"", ""社会小说""]]",激励了无数青年的爱国情怀和奋斗热情  
经典常谈（《语文》八年级下推荐阅读，版本特别加入图解与注释，附录20853字《唐诗三百首》解析，更适合青少年无障碍阅读。）,http://img3m0.ddimg.cn/24/23/27915450-1_l_28.jpg,7719.0,99.9%,朱自清， 果麦文化 出品,2019-08-01,三秦出版社,¥15.50,¥35.00,4.4折,¥6.99,http://product.dangdang.com/27915450.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787551818643""]","[[""图书"", ""文化"", ""文化评述""]]",戴建业老师推荐版本！朱自清三十年研究教学经验集结，十三部国学经典逐个说透。  
命运（蔡崇达新书，畅销400万册《皮囊》作者长篇新作。刘德华、韩寒、白岩松、李敬泽、程永新联袂推荐！一个人的无常，所有人的命运）,http://img3m3.ddimg.cn/47/1/29458883-1_l_25.jpg,43927.0,100%,蔡崇达，果麦文化 出品,2022-09-01,浙江文艺出版社,¥29.90,¥59.80,5.0折,¥24.99,http://product.dangdang.com/29458883.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：9787533969608""]","[[""图书"", ""小说"", ""中国当代小说""]]",这一生，你想要怎么活？想要如何与时代共处？刘德华读完全书后说：“探索，对抗，和解，不就是命运的一部分吗？《命运》值得大家慢慢去品尝。”果麦出品  
快乐读书吧三年级下册 中国古代寓言 克雷洛夫寓言 伊索寓言 推荐阅读套装共3册 中小学生课外阅读指导丛书 无障碍阅读 彩插励志版,http://img3m1.ddimg.cn/56/22/26440481-1_l_36.jpg,52894.0,100%,克雷洛夫，伊索等,2013-01-01,南方出版社,¥19.80,¥44.40,4.5折,,http://product.dangdang.com/26440481.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：26440481""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",赠品数量有限，先到先得，以实际下单为准  
穿过地平线：看看我们的地球 小学四年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m9.ddimg.cn/13/26/28520329-1_l_18.jpg,37261.0,100%,李四光,2020-03-01,商务印书馆,¥14.40,¥28.80,5.0折,,http://product.dangdang.com/28520329.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787100180528"", ""丛书名：快乐读书吧 统编小学语文教材必读丛书""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
没头脑和不高兴（注音版）,http://img3m9.ddimg.cn/20/14/29291249-1_l_6.jpg,485393.0,100%,任溶溶,2021-08-01,浙江少年儿童出版社,¥15.00,¥25.00,6.0折,,http://product.dangdang.com/29291249.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787559706522""]","[[""图书"", ""童书"", ""中国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",  
置身事内：中国政府与经济发展（罗永浩、罗振宇、何帆、刘格菘、张军、周黎安、王烁联袂推荐，复旦经院毕业课）,http://img3m8.ddimg.cn/27/24/29281158-1_l_25.jpg,179963.0,100%,兰小欢 著,2021-08-01,上海人民出版社,¥32.50,¥65.00,5.0折,,http://product.dangdang.com/29281158.html,"[""开 本：16开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787208171336""]","[[""图书"", ""经济"", ""中国经济"", ""中国经济概况""]]",得到年度书单Top10！从微观机制到宏观现象，双重维度认识中国经济中的政府。搭建经济学理论与中国发展实际之间的桥梁，打通学界前沿研究与业界实证案例，解锁看懂政经消息的全新视角！  
钢铁是怎样炼成的(语文教材“名著导读”经典・八年级下。大语文理念打造：思维导图+详细注释+知识拓展+彩色插图),http://img3m2.ddimg.cn/69/22/28535532-1_l_24.jpg,54157.0,100%,（苏）奥斯特洛夫斯基 著 周露 译,2020-04-21,时代文艺出版社,¥20.70,¥44.00,4.7折,,http://product.dangdang.com/28535532.html,"[""开 本：16开"", ""纸 张：书写纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538761559""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]",浙大俄语教师周露俄文原版直译的经典译本；世界冠军团队手绘彩色思维导图；知识窗拓展人文素养；详细注释助力无障碍阅读  
暖房子・屁屁侦探系列（套装共7册）,http://img3m9.ddimg.cn/69/34/29128839-1_l_16.jpg,180789.0,100%,【日】Troll/文、图   禹田文化 出品,2020-07-01,海豚出版社,¥63.30,¥115.00,5.5折,,http://product.dangdang.com/29128839.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787511052568""]","[[""图书"", ""童书"", ""绘本/图画书"", ""平装图画书"", ""日韩""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""专注力/记忆力""]]",在日销量破百万册，阅读推广人绘本榜单常客！培养孩子专注力、观察力、幽默感和成就感的超人气解谜趣味绘本！幽默好玩的图画，层层相扣的情节，紧张且有逻辑的通关任务，超适合孩子的“杀时间”绘本！禹田文化出品  
森林报 春/夏/秋/冬（以报刊纪实的手法，给孩子生动地讲述四季中的大自然百科。精美插图）,http://img3m4.ddimg.cn/8/36/26491814-1_l_30.jpg,122902.0,100%,（苏）比安基 ；小当当童书馆 出品,2019-01-01,安徽教育出版社,¥43.80,¥91.20,4.8折,,http://product.dangdang.com/26491814.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：26491814""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",翻译家沈念驹、姚锦镕联袂翻译！“森林哑语翻译者”“发现森林的人”比安基关于大自然四季变化的趣味科普(新老版本随机发货)  
窗边的小豆豆(2018版),http://img3m6.ddimg.cn/66/10/25272786-1_l_24.jpg,1599766.0,99.9%,（日）黑柳彻子， 爱心树童书  出品,2018-05-01,南海出版公司,¥27.20,¥39.50,6.9折,¥24.99,http://product.dangdang.com/25272786.html,"[""开 本：32开"", ""纸 张：纯质纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787544288590"", ""丛书名：小豆豆系列""]","[[""图书"", ""童书"", ""外国儿童文学"", ""成长/校园小说""]]",影响20世纪的儿童文学杰作，中文简体版已突破1300万册，入选九年制义务教育小学语文课本，教育专家联袂推荐。这是一段真实的故事，被退学的“小豆豆”在充满爱与温暖的巴学园中快乐成长。爱心树童书  
银河帝国：基地（人类历史上不容错过的系列小说。被马斯克用火箭送上太空的科幻神作，百万册珍藏版）（读客科幻文库）,http://img3m4.ddimg.cn/45/4/29299194-1_l_11.jpg,218605.0,100%,[美]艾萨克・阿西莫夫（Isaac Asimov）；读客文化 出品,2015-09-01,江苏文艺出版社,¥22.50,¥45.00,5.0折,¥7.99,http://product.dangdang.com/29299194.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：29299194""]","[[""图书"", ""小说"", ""科幻小说""]]",阿西莫夫：永恒的科幻经典！阿西莫夫封神之作。人类历史上不容错过的系列小说——世界SF小说协会，1966年，俄亥俄州。附赠“银河帝国行政区”海报。读客熊猫君出品  
罪与罚 犯罪心理分析小说的大师级经典之作 世界名著典藏,http://img3m2.ddimg.cn/74/3/23806802-1_l_13.jpg,80304.0,100%,"（俄）陀思妥耶夫斯基（著),朱宪生、曾思艺译 万亭文化 出品",2015-06-01,中央编译出版社,¥12.70,¥32.00,4.0折,,http://product.dangdang.com/23806802.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787511727084"", ""丛书名：世界名著典藏系列丛书""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",名家全译本  上海师范大学教授、著名翻译家朱宪生译作  国际大师插图  
悉达多（译者姜乙翻译）【果麦经典】,http://img3m8.ddimg.cn/63/11/26186058-1_l_14.jpg,164577.0,100%,[德]赫尔曼・黑塞，译者：姜乙，果麦文化 出品,2017-01-01,天津人民出版社,¥16.00,¥32.00,5.0折,¥3.99,http://product.dangdang.com/26186058.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：9787201112695""]","[[""图书"", ""小说"", ""外国小说"", ""德国""]]",豆瓣9.4分，3万读者评价。诺贝尔文学奖得主黑塞代表作。姜乙倾情翻译，传递原版精神与诗意。讲述一个人独自行过生命，蒙受玷污，承担罪过，痛饮苦酒，寻觅出路。果麦出品  
克雷洛夫寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 12万多名读者热评！,http://img3m5.ddimg.cn/67/18/23197945-1_l_34.jpg,150409.0,100%,(俄) 克雷洛夫,2021-04-01,南方出版社,¥5.00,¥15.80,3.2折,,http://product.dangdang.com/23197945.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550168305""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",阅读本书培养勤劳、朴实、坚忍的品质！  
拉封丹寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 5万多读者热评！,http://img3m0.ddimg.cn/55/21/26440480-1_l_39.jpg,86814.0,100%,（法）让 德 拉封丹,2018-10-01,南方出版社,¥10.20,¥22.80,4.5折,,http://product.dangdang.com/26440480.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550146556""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步奖！是否值得为一场痛快的复仇，陪葬掉自己的人生？）,http://img3m3.ddimg.cn/3/5/28542693-1_l_14.jpg,324037.0,100%,(日)高野和明 著；读客文化 出品,2020-04-29,上海文艺出版社,¥21.00,¥42.00,5.0折,¥12.99,http://product.dangdang.com/28542693.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787532175512""]","[[""图书"", ""小说"", ""侦探/悬疑/推理小说""]]",日本推理女王宫部美雪好评盛赞！作者高野和明曾获日本推理作家协会奖。本书荣获周刊文春“推理小说BEST10”第2名。入围“这本推理小说了不起”榜单。扑朔迷离的案件背后，是对死刑制度的探讨。新老版本随机发  
罗尔德・达尔作品典藏（彩图拼音版）―了不起的狐狸爸爸,http://img3m7.ddimg.cn/38/28/25575797-1_l_13.jpg,333588.0,100%,(英) 罗尔德・达尔 著； (英) 昆汀・布莱克绘；代维 译。,2018-09-01,明天出版社,¥14.00,¥28.00,5.0折,,http://product.dangdang.com/25575797.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787533299224""]","[[""图书"", ""童书"", ""外国儿童文学"", ""幻想小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""拼音读物""]]",达尔作品彩图拼音版，适合小学一、二、三年级孩子阅读；世界奇幻文学大师作品，送给5-8岁孩子的童年礼物。  
四大名著套装 西游记 红楼梦 三国演义 水浒传 五年级下册快乐读书吧推荐阅读 青少版无障碍阅读 中小学生课外阅读指导丛书共4册 12万读者好评！,http://img3m6.ddimg.cn/22/28/23276506-1_l_40.jpg,139388.0,99.8%,吴承恩，施耐庵，曹雪芹，罗贯中，,2012-07-01,时代文艺出版社,¥23.70,¥59.20,4.0折,,http://product.dangdang.com/23276506.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23276506""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",赠品数量有限 先到先得 以实际下单为准 新老版封面任意发货  
