书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页
狂人日记：鲁迅小说全集（1938年复社底本，中国白话小说开山之作。收录鲁迅全部小说，多篇入选语文课本）团购电话：4001066666转6,http://img3m7.ddimg.cn/53/2/29277917-1_l_6.jpg,130608,100%,鲁迅,2021-08-01,中国友谊出版公司,¥19.50,¥39.80,4.9折,¥15.92,http://product.dangdang.com/29277917.html
呼兰河传(《语文》推荐阅读丛书)人民文学出版社,http://img3m6.ddimg.cn/27/8/25283736-1_l_7.jpg,134729,100%,萧红,2018-04-01,人民文学出版社,¥13.00,¥26.00,5.0折,¥13.00,http://product.dangdang.com/25283736.html
海底两万里 七年级下 名著阅读课程化丛书 导读版 人民教育出版社,http://img3m5.ddimg.cn/40/13/25112875-1_l_8.jpg,117127,100%,（法）儒勒・凡尔纳 著，陈筱卿 译,2017-06-01,人民教育出版社,¥29.10,¥38.80,7.5折,,http://product.dangdang.com/25112875.html
愿望的实现 全彩注音 小学二年级下册 快乐读书吧 推荐阅读（有声朗读）小学课外阅读,http://img3m5.ddimg.cn/51/2/28516605-1_l_24.jpg,21568,100%,泰戈尔（印度）,2020-02-01,商务印书馆,¥7.30,¥21.80,3.3折,,http://product.dangdang.com/28516605.html
伊索寓言 快乐读书吧 三年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 150000多名读者热评！,http://img3m8.ddimg.cn/47/17/22800638-1_l_43.jpg,222482,99.9%,［古希腊］伊索,2012-07-01,时代文艺出版社,¥5.30,¥14.80,3.6折,,http://product.dangdang.com/22800638.html
呼兰河传（《呼兰河传》和《生死场》的合编本，萧红的主要作品）,http://img3m5.ddimg.cn/95/19/23618525-1_l_11.jpg,289440,99.7%,萧红　著,2014-12-01,北京联合出版公司,¥13.00,¥28.80,4.5折,¥0.00,http://product.dangdang.com/23618525.html
看文明：200个细节里的中国史（米莱童书 7岁+ 小学生初中生都爱读的中国历史科普百科宝典 8大文明领域 200+细节讲述 1000+手绘图，全景展示中国文明历史发展脉络,http://img3m8.ddimg.cn/19/10/29462518-1_l_10.jpg,3926,99.9%,米莱童书 著/绘,2022-08-01,北京理工大学出版社,¥168.00,¥480.00,3.5折,,http://product.dangdang.com/29462518.html
法治的细节（罗翔新作，法律随笔，评热点、论法理、聊读书、谈爱情，人间清醒与你坦诚相见）,http://img3m4.ddimg.cn/21/25/29323524-1_l_20.jpg,252978,100%,罗翔，果麦文化 出品,2021-11-01,云南人民出版社,¥24.90,¥49.80,5.0折,¥39.99,http://product.dangdang.com/29323524.html
鲁滨逊漂流记 新版（全译精装典藏版 无障碍阅读 朱永新及各省级教育专家联袂推荐）,http://img3m1.ddimg.cn/24/9/25101771-1_l_21.jpg,78079,99.9%,（英）丹尼尔 笛福,2017-05-01,商务印书馆,¥15.90,¥31.80,5.0折,,http://product.dangdang.com/25101771.html
波西和皮普7册经典套装（小小聪明豆系列绘本）0-3岁低幼启蒙情绪管理绘本，发现快乐，体验成长！,http://img3m7.ddimg.cn/93/20/23769597-1_l_6.jpg,216272,100%,（德）阿克塞尔・舍夫勒著/绘,2015-08-17,外语教学与研究出版社,¥39.00,¥73.00,5.3折,,http://product.dangdang.com/23769597.html
鲁滨逊漂流记 六年级下册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m1.ddimg.cn/77/2/29146271-1_l_24.jpg,23190,100%,（英）丹尼尔 笛福,2020-10-01,商务印书馆,¥10.20,¥22.80,4.5折,,http://product.dangdang.com/29146271.html
人鱼陷落（高人气作者麟潜口碑代表作！）,http://img3m3.ddimg.cn/2/32/29411813-1_l_3.jpg,16449,100%,"麟潜 著,博集天卷 出品",2022-07-01,湖南文艺出版社,¥26.40,¥52.80,5.0折,,http://product.dangdang.com/29411813.html
在细雨中呼喊（精装版）,http://img3m8.ddimg.cn/83/20/25263398-1_l_6.jpg,78189,100%,余华 著，新经典 出品,2018-05-01,北京十月文艺出版社,¥27.20,¥39.50,6.9折,¥11.99,http://product.dangdang.com/25263398.html
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,http://img3m2.ddimg.cn/62/32/25119332-1_l_18.jpg,2026842,99.9%,[日]东野圭吾 著，新经典 出品,2017-08-09,南海出版公司,¥29.80,¥59.60,5.0折,¥35.76,http://product.dangdang.com/25119332.html
爱丽丝漫游仙境 又名：爱丽丝漫游奇境 快乐读书吧 六年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版,http://img3m7.ddimg.cn/57/24/23349207-1_l_28.jpg,101857,99.9%,(英)卡罗尔,2021-05-01,南方出版社,¥5.00,¥15.80,3.2折,,http://product.dangdang.com/23349207.html
经典常谈（朱自清国学典籍精讲）,http://img3m1.ddimg.cn/10/34/29351431-1_l_4.jpg,11709,100%,朱自清 著，酷威文化 出品,2022-03-01,江苏凤凰文艺出版社,¥15.50,¥39.80,3.9折,¥3.98,http://product.dangdang.com/29351431.html
快乐读书吧三年级下册 中国古代寓言 克雷洛夫寓言 伊索寓言 拉封丹寓言 推荐阅读套装共4册 无障碍阅读 中小学生课外阅读指导丛书,http://img3m9.ddimg.cn/49/1/29150599-1_l_27.jpg,11940,99.9%,克雷洛夫，伊索，让 德 拉封丹等,2013-01-01,南方出版社,¥29.90,¥67.20,4.4折,,http://product.dangdang.com/29150599.html
认知觉醒：开启自我改变的原动力,http://img3m4.ddimg.cn/73/20/29119834-1_l_12.jpg,113161,100%,周岭,2020-09-01,人民邮电出版社,¥29.90,¥59.80,5.0折,¥21.99,http://product.dangdang.com/29119834.html
一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,http://img3m4.ddimg.cn/96/20/25215594-1_l_11.jpg,243901,100%,"[英]乔治・奥威尔 著,傅霞 译",2018-02-05,时代文艺出版社,¥14.40,¥32.00,4.5折,¥1.99,http://product.dangdang.com/25215594.html
地球的故事 快乐读书吧 四年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 7万多名读者热评！,http://img3m9.ddimg.cn/54/20/26440479-1_l_38.jpg,107756,100%,（美）房龙,2018-10-01,南方出版社,¥7.70,¥22.80,3.4折,,http://product.dangdang.com/26440479.html
宝葫芦的秘密（中国版多啦A梦，充满魔幻的童话构思，让孩子读懂自我价值的意义）,http://img3m0.ddimg.cn/58/21/26315050-1_l_39.jpg,91154,100%,张天翼，小当当童书馆 出品,2018-12-01,安徽教育出版社,¥11.40,¥22.80,5.0折,,http://product.dangdang.com/26315050.html
枪炮、病菌与钢铁（赠解读册）,http://img3m2.ddimg.cn/82/20/29351602-1_l_19.jpg,65925,99.9%,贾雷德・戴蒙德 Jared Diamond,2022-01-14,中信出版社,¥44.50,¥89.00,5.0折,¥59.99,http://product.dangdang.com/29351602.html
bibi动物园：等你好久啦（当当专享超萌签章版+番外漫画集+精美贴纸，“治愈系天花板”随手一翻，嘴角一弯！）,http://img3m9.ddimg.cn/84/2/29473869-1_l_19.jpg,7230,100%,bibi园长  著 ， 新经典  出品,2022-11-01,南海出版公司,¥35.20,¥49.00,7.2折,¥29.40,http://product.dangdang.com/29473869.html
有故事的汉字 第1辑（全3册）,http://img3m5.ddimg.cn/86/10/23629505-1_l_6.jpg,189906,99.8%,邱昭瑜,2015-01-06,青岛出版社,¥30.00,¥60.00,5.0折,,http://product.dangdang.com/23629505.html
罗尔德・达尔作品典藏 了不起的狐狸爸爸,http://img3m2.ddimg.cn/48/36/25110012-1_l_30.jpg,667801,99.9%,罗尔德・达尔,2009-03-01,明天出版社,¥7.50,¥15.00,5.0折,,http://product.dangdang.com/25110012.html
追风筝的人（李雪琴、高圆圆动情推荐，《纽约时报》畅销书榜上榜超100周）,http://img3m8.ddimg.cn/73/8/29211508-1_l_20.jpg,1110319,100%,[美]卡勒德・胡赛尼（Khaled Hosseini） 著，李继宏 译,2006-05-01,上海人民出版社,¥22.50,¥45.00,5.0折,,http://product.dangdang.com/29211508.html
快乐读书吧四年级下册 十万个为什么 细菌世界历险记 穿过地平线 地球的故事 爷爷的爷爷哪里来 森林报 小学推荐阅读套装共6册（中小学生课外阅读指导丛书）,http://img3m7.ddimg.cn/30/8/29323137-1_l_14.jpg,6545,100%,李四光，（苏）米 伊林，高士其，贾兰坡等,2021-06-01,南方出版社,¥66.20,¥148.80,4.4折,,http://product.dangdang.com/29323137.html
一句顶一万句（当当专享印签版）,http://img3m7.ddimg.cn/93/36/29437347-1_l_13.jpg,207926,99.8%,刘震云，长江新世纪 出品,2022-08-01,花城出版社,¥34.00,¥68.00,5.0折,,http://product.dangdang.com/29437347.html
人间闹了一整天纪念礼盒套装（可能这就是人生吧+为这人间操碎了心+不如做只猫狗，梁实秋散文随笔集全3册）,http://img3m7.ddimg.cn/93/17/29325477-1_l_10.jpg,6442,100%,梁实秋 著  时代华语 出品,2021-11-01,中国友谊出版公司,¥63.00,¥126.00,5.0折,,http://product.dangdang.com/29325477.html
皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一个个既失去家乡又未到达远方的生命）,http://img3m1.ddimg.cn/3/6/27872661-1_l_48.jpg,1298479,99.9%,蔡崇达，果麦文化 出品,2019-05-01,天津人民出版社,¥24.90,¥49.80,5.0折,¥9.90,http://product.dangdang.com/27872661.html
趣说中国史1+2（全2册）,http://img3m8.ddimg.cn/90/9/29408238-1_l_10.jpg,250219,100%,趣哥,2022-06-01,台海出版社,¥49.80,¥99.60,5.0折,,http://product.dangdang.com/29408238.html
傅雷家书,http://img3m5.ddimg.cn/36/13/29150685-1_l_9.jpg,122481,100%,"傅雷 著,酷威文化 出品",2021-01-01,万卷出版公司,¥15.50,¥39.80,3.9折,¥4.99,http://product.dangdang.com/29150685.html
快乐读书吧 七色花 愿望的实现 愿你也有一支神笔 童年笔记(一起长大的玩具) 大头儿子和小头爸爸 小学二年级下册推荐阅读 (有声)套装5册,http://img3m8.ddimg.cn/60/10/29164668-1_l_39.jpg,9476,100%,泰戈尔，洪汛涛，金波，瓦卡达耶夫等,2020-05-01,商务印书馆,¥54.50,¥109.00,5.0折,,http://product.dangdang.com/29164668.html
悉达多（诺贝尔文学奖得主赫尔曼・黑塞的代表作，德文直译，原版呈现。）,http://img3m7.ddimg.cn/67/34/29173387-1_l_11.jpg,68219,100%,（德）赫尔曼・黑塞著 赵丽慧译,2020-12-01,民主与建设出版社,¥24.90,¥49.80,5.0折,¥4.99,http://product.dangdang.com/29173387.html
小兵张嘎 百年百部经典书系 5-6年级阅读拓展书目，红色经典抗战题材的长篇小说,http://img3m8.ddimg.cn/37/26/28553518-1_l_6.jpg,153636,100%,徐光耀,2020-04-01,长江少年儿童出版社,¥9.20,¥20.00,4.6折,,http://product.dangdang.com/28553518.html
昆虫记 青少年儿童文学读物 (中小学生课外阅读指导丛书) 无障碍阅读 彩插本 少儿6-8-9-12岁四五六年级书籍,http://img3m6.ddimg.cn/81/16/23460606-1_l_27.jpg,68789,99.8%,（法）法布尔,2013-04-01,山东美术出版社,¥11.20,¥28.80,3.9折,,http://product.dangdang.com/23460606.html
神笔马良（小学语文“快乐读书吧”二年级下阅读。生词、疑难点增加注音注释，阅读无障碍）,http://img3m2.ddimg.cn/71/28/25203392-1_l_20.jpg,105410,100%,洪汛涛,2018-01-01,浙江工商大学出版社,¥10.30,¥21.00,4.9折,,http://product.dangdang.com/25203392.html
伊索寓言（小学语文“快乐读书吧”三年级下阅读。按人的基本价值观分卷，更有主题词+格言警句+精美插图+寓意点评）,http://img3m9.ddimg.cn/28/21/25126129-1_l_21.jpg,108636,100%,〔古希腊〕伊索 著；  杨海英 译。,2017-08-01,浙江工商大学出版社,¥9.50,¥21.00,4.5折,¥1.99,http://product.dangdang.com/25126129.html
小妇人（写给所有女孩，全新精装典藏版，翻译家贾辉丰倾情译作。内封复刻1868年初版，特种红纸烫金）,http://img3m5.ddimg.cn/80/2/29343185-1_l_10.jpg,45312,100%,[美]路易莎・梅・奥尔科特，创美工厂出品,2021-12-01,中国友谊出版公司,¥22.50,¥45.00,5.0折,¥7.96,http://product.dangdang.com/29343185.html
西游记 四大名著五年级下册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 12万多名读者热评！,http://img3m3.ddimg.cn/42/12/22800633-1_l_42.jpg,154553,99.9%,（明）吴承恩,2021-06-01,时代文艺出版社,¥6.50,¥14.80,4.4折,,http://product.dangdang.com/22800633.html
信谊世界精选图画书-猜猜我有多爱你,http://img3m8.ddimg.cn/81/20/29132118-1_l_17.jpg,213463,100%,[英] 山姆・麦克布雷尼 著，[英] 安妮塔・婕朗 绘，梅子涵 译,2020-09-01,明天出版社,¥25.60,¥43.80,5.8折,,http://product.dangdang.com/29132118.html
骆驼祥子（语文教材“名著导读”经典・七年级下。大语文理念打造：思维导图+详细注释+知识拓展+彩色插图）,http://img3m3.ddimg.cn/41/36/29189003-1_l_16.jpg,32757,100%,老舍 著,2021-01-12,时代文艺出版社,¥13.60,¥29.00,4.7折,,http://product.dangdang.com/29189003.html
许三观卖血记（2017精装典藏版，增录新版自序）,http://img3m3.ddimg.cn/36/0/25165143-1_l_6.jpg,101004,100%,余华 著，新经典 出品,2017-10-01,北京十月文艺出版社,¥27.20,¥39.50,6.9折,¥19.92,http://product.dangdang.com/25165143.html
课文作家作品系列 树和喜鹊 一年级下册 金波著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m7.ddimg.cn/13/15/29194717-1_l_6.jpg,75185,100%,金波 著，王林 主编,2017-09-01,人民教育出版社,¥17.90,¥21.00,8.5折,,http://product.dangdang.com/29194717.html
课文作家作品系列 蜘蛛开店 二年级下册 鲁冰著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m7.ddimg.cn/33/35/29194737-1_l_5.jpg,46676,100%,鲁冰 著，王林 主编,2019-09-01,人民教育出版社,¥21.30,¥25.00,8.5折,,http://product.dangdang.com/29194737.html
读读童谣和儿歌（1-4）全彩注音 小学一年级下册 快乐读书吧 推荐阅读（有声朗读）套装共4册 小学课外阅读,http://img3m0.ddimg.cn/95/29/28548230-1_l_28.jpg,17544,100%,樊发稼编选,2020-05-01,商务印书馆,¥21.60,¥43.20,5.0折,,http://product.dangdang.com/28548230.html
穿过地平线 又名:看看我们的地球 快乐读书吧 四年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 近8万读者热评！,http://img3m0.ddimg.cn/88/12/28504960-1_l_31.jpg,117984,100%,李四光著,2019-12-01,南方出版社,¥12.40,¥24.80,5.0折,,http://product.dangdang.com/28504960.html
翦商：殷周之变与华夏新生（许宏作序；罗翔年度推荐；《南方周末》2022年度十大好书；一部夏商周启示录）,http://img3m2.ddimg.cn/88/21/29471002-1_l_16.jpg,9223,99.9%,李硕 著，一��folio 出品,2022-10-01,广西师范大学出版社,¥49.50,¥99.00,5.0折,,http://product.dangdang.com/29471002.html
面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全新编校+无删减全译本）,http://img3m0.ddimg.cn/77/11/26445650-1_l_11.jpg,193185,100%,〔英〕毛姆 著，王晋华 译,2019-01-01,时代文艺出版社,¥12.20,¥27.00,4.5折,,http://product.dangdang.com/26445650.html
西游记原著版（上、下册）（团购电话:400-1066666转6）,http://img3m6.ddimg.cn/89/33/104336-1_l_3.jpg,410989,99.3%,吴承恩,2010-10-01,人民文学出版社,¥25.40,¥47.20,5.4折,¥29.00,http://product.dangdang.com/104336.html
青：陪安东尼度过漫长岁月5,http://img3m4.ddimg.cn/8/35/29381624-1_l_11.jpg,42988,100%,安东尼,2022-04-01,湖南文艺出版社,¥35.00,¥48.00,7.3折,,http://product.dangdang.com/29381624.html
全球最美的100个地方 图说天下 寻梦之旅,http://img3m9.ddimg.cn/38/9/29434619-1_l_7.jpg,25852,100%,《图说天下》编委会,2022-07-01,四川人民出版社,¥17.90,¥29.90,6.0折,,http://product.dangdang.com/29434619.html
课文作家作品系列 四个太阳 一年级下册 夏辇生著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m5.ddimg.cn/11/13/29194715-1_l_15.jpg,63988,100%,夏辇生 著，王林 主编,2018-08-01,人民教育出版社,¥17.90,¥21.00,8.5折,,http://product.dangdang.com/29194715.html
人教版快乐读书吧 二年级下册套装（七色花+神笔马良+一起长大的玩具+愿望的实现）共4册 语文教科书配套书目,http://img3m6.ddimg.cn/40/26/28486696-1_l_20.jpg,184661,100%,曹文轩 陈先云 主编,2019-01-01,人民教育出版社,¥48.00,¥64.00,7.5折,,http://product.dangdang.com/28486696.html
城南旧事（《语文》阅读丛书）人民文学出版社,http://img3m5.ddimg.cn/67/34/25275955-1_l_6.jpg,68996,100%,林海音,2018-05-01,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25275955.html
细菌世界历险记 又名：灰尘的旅行 快乐读书吧四年级下册推荐 儿童文学读物 高士其科普童话课外阅读 中小学生课外阅读指导丛书 无障碍阅读 菌儿自传,http://img3m7.ddimg.cn/77/15/24040247-1_l_40.jpg,325147,100%,高士其,2021-04-01,南方出版社,¥9.90,¥22.80,4.3折,,http://product.dangdang.com/24040247.html
中国古代寓言 伊索寓言 克雷洛夫寓言 小学三年级下册 快乐读书吧 推荐阅读（有声朗读）中小学课外阅读 套装3册,http://img3m4.ddimg.cn/60/11/28516614-1_l_23.jpg,15675,100%,邵珠磊，克雷洛夫，伊索，,2020-02-01,商务印书馆,¥31.80,¥71.40,4.5折,,http://product.dangdang.com/28516614.html
四大名著 生僻字注音+注释+注解 插图青少版 9-15岁孩子更易读懂 三国演义 红楼梦 水浒传 西游记,http://img3m6.ddimg.cn/35/15/25111286-1_l_41.jpg,145582,99.8%,（清）曹雪芹、（明）吴承恩、（明）罗贯中、（明）施耐庵 著，高高国际 出品,2017-08-01,民主与建设出版社,¥42.90,¥119.20,3.6折,,http://product.dangdang.com/25111286.html
